word,score,sentiment
menggemparkan,-2,neg
menggenangi,-2,neg
menggeram,-2,neg
menggerutu,-3,neg
menggigil,-2,neg
menggila,-3,neg
menggoda,-3,neg
menggulingkan,-3,neg
menggumpalkan,-1,neg
mengguncang,-2,neg
menggusur,-3,neg
menghadapi,1,pos
menghakimi,-4,neg
menghalangi,-2,neg
menghalau,-2,neg
menghambat,-3,neg
menghambur-hamburkan,-4,neg
menghancurkan,-4,neg
menghantam,-4,neg
menghantui,-3,neg
menghapuskan,-4,neg
menghargai,5,pos
mengharukan,3,pos
menghiasi,4,pos
menghibur,4,pos
menghidupkan,4,pos
menghilangkan,-3,neg
menghina,-4,neg
menghindari,-1,neg
menghisap,-2,neg
menghormati,4,pos
menghujat,-5,neg
menghukum,-2,neg
mengigil,-2,neg
mengikis,-1,neg
mengilhami,4,pos
menginfeksi,-3,neg
mengingini,-1,neg
mengingkari,-3,neg
menginjak-injak,-4,neg
menginspirasi,5,pos
mengintai,-3,neg
menginvasi,-4,neg
mengkhianati,-4,neg
mengobarkan,-1,neg
mengobati,4,pos
mengoceh,-3,neg
mengolok-olok,-3,neg
mengomeli,-3,neg
mengotori,-4,neg
mengoyakkan,-3,neg
menguap,-1,neg
mengubur,-1,neg
mengucilkan,-4,neg
mengulur-ulur,-3,neg
mengundi,-2,neg
menguntungkan,4,pos
mengurangi,-2,neg
menguras,-2,neg
mengurungkan,-1,neg
mengusir,-4,neg
mengusut,3,pos
mengutuk,-4,neg
menikmati,4,pos
menilai,1,pos
menimbulkan,1,pos
menimbun,-3,neg
menindas,-4,neg
meningkatkan,3,pos
menipu,-5,neg
menisik,-1,neg
menjatuhkan,-3,neg
menjejalkan,-2,neg
menjemukan,-3,neg
menjengkelkan,-3,neg
menjerat,-3,neg
menjerit,-3,neg
menjijikkan,-4,neg
menolak,-2,neg
menonaktifkan,-1,neg
menuding,-4,neg
menuduh,-4,neg
menular,-2,neg
menumbangkan,-2,neg
menunangkan,1,pos
menunggu,-2,neg
menuntut,-3,neg
menurun,-2,neg
menurunkan,-1,neg
menusuk,-4,neg
menutupi,-1,neg
menyakitkan,-3,neg
menyalahgunakan,-4,neg
menyalahkan,-4,neg
menyalak,-4,neg
menyamarkan,-3,neg
menyambut,3,pos
menyangkal,-3,neg
menyayangkan,1,pos
menyebalkan,-4,neg
menyedihkan,-3,neg
menyedot,-1,neg
menyegarkan,3,pos
menyelinap,-3,neg
menyelundupkan,-4,neg
menyembunyikan,-2,neg
menyemburkan,-1,neg
menyenangkan,4,pos
menyendiri,-1,neg
menyensor,2,pos
menyerah,-4,neg
menyeramkan,-4,neg
menyerang,-3,neg
menyerap,1,pos
menyerbu,-3,neg
menyeret,-4,neg
menyeringai,-2,neg
menyesal,-4,neg
menyesatkan,-5,neg
menyiksa,-4,neg
menyimpang,-4,neg
menyinggung,-2,neg
menyingkirkan,-3,neg
menyita,-3,neg
menyobek,-2,neg
menyogok,-4,neg
menyuap,-4,neg
menyukai,4,pos
menyumbat,-2,neg
menyusahkan,-4,neg
menyusup,-3,neg
meragukan,-2,neg
merajalela,-2,neg
merampok,-4,neg
merana,-4,neg
merangkak,-2,neg
merangsang,-1,neg
merata,2,pos
meratap,-2,neg
merawat,4,pos
merayakan,4,pos
merebut,-2,neg
mereda,3,pos
meremehkan,-3,neg
merendahkan,-4,neg
merengek,-3,neg
merenung,2,pos
meresahkan,-3,neg
merevitalisasi,4,pos
meriah,3,pos
meriam,-1,neg
merinding,-1,neg
meringankan,3,pos
meringis,-2,neg
merisaukan,-2,neg
merobek,-3,neg
merosot,-3,neg
merugikan,-4,neg
merundung,-3,neg
merusak,-4,neg
meskipun,-1,neg
mesra,3,pos
mesum,-4,neg
mimpi,3,pos
minim,-3,neg
miring,-1,neg
mirip,1,pos
miris,-4,neg
miskin,-3,neg
mohon,1,pos
monoton,-2,neg
montok,-2,neg
moral,4,pos
muah,3,pos
muak,-5,neg
muda,4,pos
mudah,3,pos
mudah-mudahan,1,pos
mulia,4,pos
multitalenta,5,pos
munafik,-5,neg
mundur,-3,neg
muntah,-3,neg
murah,2,pos
murahan,-4,neg
muram,-2,neg
murka,-4,neg
murni,4,pos
murung,-3,neg
musuh,-4,neg
naif,-3,neg
naik,3,pos
nakal,-3,neg
nangis,-2,neg
nasib,-1,neg
naudzubillah,-5,neg
negatif,-1,neg
nekat,-2,neg
neraka,-4,neg
ngaku-ngaku,-4,neg
ngeles,-4,neg
ngeri,-4,neg
ngobrol,3,pos
ngomel,-4,neg
nikmat,4,pos
nilai,3,pos
nol,-4,neg
nomor,-1,neg
nonsens,-3,neg
norak,-5,neg
normal,-1,neg
numpang,-3,neg
nyai,-4,neg
nyaman,4,pos
nyampah,-4,neg
nyenyak,3,pos
nyepam,-4,neg
nyeri,-2,neg
nyerocos,-4,neg
nyindir,-3,neg
nyinyir,-4,neg
nyungsep,-5,neg
oh,-1,neg
ok,1,pos
okay,1,pos
oke,3,pos
om-om,-4,neg
omg,-2,neg
omongan,-2,neg
omongkosong,-4,neg
openminded,4,pos
oposisi,-1,neg
optimal,4,pos
optimis,5,pos
optimisme,5,pos
otentik,4,pos
otokrasi,-1,neg
otokrat,-2,neg
padat,1,pos
pahala,4,pos
